Memory Usage (GB)
10.3271
10.542
10.5107
10.5859
10.6475
10.8311
10.7617
10.9834
11.125
11.4072
11.3672
11.4268
11.625
11.625
11.7715
11.5127
11.583
11.5557
11.6494
11.6592
11.043
11.0205
11.1299
11.0781
11.1777
11.126
11.1689
